Academic Year,LSS Number,LSS Name,School Number,School Name,AP Subject Group,Students Tested,Number of Exams,Exams per Student,Mean Grade per Exam,Exams with Grades 3-5,% Exams with Grades 3-5,Create Date
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,All Subjects,337,653,1.9,3.64,536,82.1,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,All English,105,105,1,3.15,70,66.7,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,All History & Social Science,214,269,1.3,3.83,237,88.1,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,All Math & Computer Science,149,177,1.2,3.69,145,81.9,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,All Sciences,79,82,1,3.55,67,81.7,20200210
2019,03,Baltimore County,0175,Western School of Technology & Env. Science,All World Languages & Cultures,13,13,1,4,12,92.3,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All Subjects,86,135,1.6,1.86,29,21.5,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All AP Capstone,15,15,1,2.13,3,20,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All English,37,38,1,1.84,4,10.5,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All History & Social Science,36,40,1.1,1.53,7,17.5,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All Math & Computer Science,12,13,1.1,2.62,7,53.8,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All Sciences,18,20,1.1,1.45,2,10,20200210
2019,03,Baltimore County,0271,Milford Mill Academy,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0272,Randallstown High,All Subjects,115,167,1.5,1.78,29,17.4,20200210
2019,03,Baltimore County,0272,Randallstown High,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0272,Randallstown High,All English,46,46,1,1.91,6,13,20200210
2019,03,Baltimore County,0272,Randallstown High,All History & Social Science,82,85,1,1.62,10,11.8,20200210
2019,03,Baltimore County,0272,Randallstown High,All Math & Computer Science,14,14,1,1.57,3,21.4,20200210
2019,03,Baltimore County,0272,Randallstown High,All Sciences,13,13,1,1.85,3,23.1,20200210
2019,03,Baltimore County,0272,Randallstown High,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0371,Pikesville High,All Subjects,221,418,1.9,2.7,223,53.3,20200210
2019,03,Baltimore County,0371,Pikesville High,All AP Capstone,23,23,1,3.26,21,91.3,20200210
2019,03,Baltimore County,0371,Pikesville High,All Arts,20,22,1.1,3.5,20,90.9,20200210
2019,03,Baltimore County,0371,Pikesville High,All English,90,90,1,2.69,47,52.2,20200210
2019,03,Baltimore County,0371,Pikesville High,All History & Social Science,144,162,1.1,2.59,77,47.5,20200210
2019,03,Baltimore County,0371,Pikesville High,All Math & Computer Science,56,60,1.1,2.48,25,41.7,20200210
2019,03,Baltimore County,0371,Pikesville High,All Sciences,48,49,1,2.65,25,51,20200210
2019,03,Baltimore County,0371,Pikesville High,All World Languages & Cultures,12,12,1,3.17,8,66.7,20200210
2019,03,Baltimore County,0452,Owings Mills High,All Subjects,104,217,2.1,2.08,67,30.9,20200210
2019,03,Baltimore County,0452,Owings Mills High,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0452,Owings Mills High,All English,34,34,1,2.06,6,17.6,20200210
2019,03,Baltimore County,0452,Owings Mills High,All History & Social Science,72,98,1.4,2.11,36,36.7,20200210
2019,03,Baltimore County,0452,Owings Mills High,All Math & Computer Science,25,25,1,1.28,*,<= 5.0,20200210
2019,03,Baltimore County,0452,Owings Mills High,All Sciences,37,38,1,1.66,4,10.5,20200210
2019,03,Baltimore County,0452,Owings Mills High,All World Languages & Cultures,12,12,1,3.67,10,83.3,20200210
2019,03,Baltimore County,0472,Franklin High,All Subjects,338,667,2,3.05,438,65.7,20200210
2019,03,Baltimore County,0472,Franklin High,All Arts,11,11,1,3.36,9,81.8,20200210
2019,03,Baltimore County,0472,Franklin High,All English,153,153,1,2.78,88,57.5,20200210
2019,03,Baltimore County,0472,Franklin High,All History & Social Science,240,321,1.3,3.15,224,69.8,20200210
2019,03,Baltimore County,0472,Franklin High,All Math & Computer Science,91,101,1.1,3.07,61,60.4,20200210
2019,03,Baltimore County,0472,Franklin High,All Sciences,65,65,1,3.05,40,61.5,20200210
2019,03,Baltimore County,0472,Franklin High,All World Languages & Cultures,16,16,1,3.5,*,>= 95.0,20200210
2019,03,Baltimore County,0473,New Town High,All Subjects,117,185,1.6,1.7,30,16.2,20200210
2019,03,Baltimore County,0473,New Town High,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0473,New Town High,All English,66,66,1,1.76,5,7.6,20200210
2019,03,Baltimore County,0473,New Town High,All History & Social Science,55,59,1.1,1.66,13,22,20200210
2019,03,Baltimore County,0473,New Town High,All Math & Computer Science,22,25,1.1,1.64,4,16,20200210
